1.871e-01, 3.204e-01, 4.181e-01, 4.834e-01, 5.191e-01, 5.283e-01, 5.139e-01, 4.788e-01, 4.261e-01, 3.585e-01, 2.792e-01, 1.910e-01, 9.688e-02
3.204e-01, 6.010e-01, 7.990e-01, 9.321e-01, 1.007e+00, 1.028e+00, 1.002e+00, 9.355e-01, 8.335e-01, 7.020e-01, 5.470e-01, 3.744e-01, 1.899e-01
4.181e-01, 7.990e-01, 1.115e+00, 1.322e+00, 1.441e+00, 1.480e+00, 1.450e+00, 1.357e+00, 1.211e+00, 1.022e+00, 7.972e-01, 5.460e-01, 2.771e-01
4.834e-01, 9.321e-01, 1.322e+00, 1.624e+00, 1.796e+00, 1.863e+00, 1.835e+00, 1.725e+00, 1.545e+00, 1.307e+00, 1.021e+00, 6.999e-01, 3.555e-01
5.191e-01, 1.007e+00, 1.441e+00, 1.796e+00, 2.045e+00, 2.151e+00, 2.139e+00, 2.024e+00, 1.821e+00, 1.544e+00, 1.209e+00, 8.305e-01, 4.221e-01
5.283e-01, 1.028e+00, 1.480e+00, 1.863e+00, 2.151e+00, 2.321e+00, 2.339e+00, 2.234e+00, 2.023e+00, 1.723e+00, 1.354e+00, 9.316e-01, 4.741e-01
5.139e-01, 1.002e+00, 1.450e+00, 1.835e+00, 2.139e+00, 2.339e+00, 2.417e+00, 2.338e+00, 2.136e+00, 1.832e+00, 1.446e+00, 9.976e-01, 5.085e-01
4.788e-01, 9.355e-01, 1.357e+00, 1.725e+00, 2.024e+00, 2.234e+00, 2.338e+00, 2.319e+00, 2.148e+00, 1.859e+00, 1.476e+00, 1.022e+00, 5.223e-01
4.261e-01, 8.335e-01, 1.211e+00, 1.545e+00, 1.821e+00, 2.023e+00, 2.136e+00, 2.148e+00, 2.042e+00, 1.791e+00, 1.436e+00, 1.000e+00, 5.127e-01
3.585e-01, 7.020e-01, 1.022e+00, 1.307e+00, 1.544e+00, 1.723e+00, 1.832e+00, 1.859e+00, 1.791e+00, 1.618e+00, 1.316e+00, 9.257e-01, 4.767e-01
2.792e-01, 5.470e-01, 7.972e-01, 1.021e+00, 1.209e+00, 1.354e+00, 1.446e+00, 1.476e+00, 1.436e+00, 1.316e+00, 1.109e+00, 7.922e-01, 4.113e-01
1.910e-01, 3.744e-01, 5.460e-01, 6.999e-01, 8.305e-01, 9.316e-01, 9.976e-01, 1.022e+00, 1.000e+00, 9.257e-01, 7.922e-01, 5.942e-01, 3.137e-01
9.688e-02, 1.899e-01, 2.771e-01, 3.555e-01, 4.221e-01, 4.741e-01, 5.085e-01, 5.223e-01, 5.127e-01, 4.767e-01, 4.113e-01, 3.137e-01, 1.808e-01
